t,angulo
2.02E+01,0.137014128
2.03E+01,0.163293087
2.03E+01,0.187190143
2.03E+01,0.207906479
2.04E+01,0.22645763
2.04E+01,0.242240446
2.05E+01,0.255361612
2.05E+01,0.265982175
2.05E+01,0.271474292
2.05E+01,0.273995125
2.06E+01,0.273977668
2.06E+01,0.270739494
2.07E+01,0.263163085
2.07E+01,0.253665934
2.07E+01,0.241080715
2.07E+01,0.225420379
2.08E+01,0.207654179
2.08E+01,0.187153909
2.09E+01,0.164276345
2.09E+01,0.13912487
2.09E+01,0.11184704
2.09E+01,0.082510956
2.10E+01,0.052300535
2.10E+01,0.020876244
2.11E+01,-0.011158807
2.11E+01,-0.043556854
2.11E+01,-0.075521027
2.11E+01,-0.10767757
2.12E+01,-0.137866627
2.12E+01,-0.169481987
2.13E+01,-0.198845249
2.13E+01,-0.225605066
2.13E+01,-0.250273515
2.14E+01,-0.272503189
2.14E+01,-0.292616366
2.14E+01,-0.310096584
2.14E+01,-0.326078756
2.15E+01,-0.339792296
2.15E+01,-0.345680133
2.15E+01,-0.354676474
2.15E+01,-0.356866076
2.16E+01,-0.357686629
2.16E+01,-0.349292376
2.17E+01,-0.345757852
2.17E+01,-0.333623597
2.17E+01,-0.319893422
2.17E+01,-0.303461186
2.18E+01,-0.279903842
2.18E+01,-0.256933256
2.19E+01,-0.231519591
2.19E+01,-0.203686628
2.19E+01,-0.173098919
2.19E+01,-0.142267438
2.20E+01,-0.110940778
2.20E+01,-0.079585294
2.21E+01,-0.046586367
2.21E+01,-0.014981227
2.21E+01,0.015745646
2.21E+01,0.046628441
2.22E+01,0.077776069
2.22E+01,0.104059012
2.22E+01,0.129678107
2.23E+01,0.154761926
2.23E+01,0.178692806
2.24E+01,0.198436289
2.24E+01,0.21534426
2.24E+01,0.224471026
2.24E+01,0.236106182
2.25E+01,0.245517934
2.25E+01,0.248300442
2.26E+01,0.24910277
2.26E+01,0.24822708
2.26E+01,0.244451177
2.26E+01,0.237195991
2.27E+01,0.225582595
2.27E+01,0.212300354
2.28E+01,0.197454706
2.28E+01,0.179359208
2.28E+01,0.158193751
2.28E+01,0.135721094
2.29E+01,0.113219498
2.29E+01,0.086440812
2.30E+01,0.060749348
2.30E+01,0.03086878
2.30E+01,0.002134648
2.30E+01,-0.027320279
2.31E+01,-0.05666272
2.31E+01,-0.085533706
2.32E+01,-0.116240508
2.32E+01,-0.14524778
2.32E+01,-0.173303668
2.33E+01,-0.200337539
2.33E+01,-0.224770403
2.33E+01,-0.247032207
2.33E+01,-0.267496855
2.34E+01,-0.285480998
2.34E+01,-0.301035706
2.35E+01,-0.314059656
2.35E+01,-0.325162795
2.35E+01,-0.333396176
2.35E+01,-0.337083846
2.36E+01,-0.337467806
2.36E+01,-0.336647831
2.37E+01,-0.331967569
2.37E+01,-0.322480449
2.37E+01,-0.312313562
2.37E+01,-0.297753257
2.38E+01,-0.280620843
2.38E+01,-0.260613318
2.39E+01,-0.238470593
2.39E+01,-0.213047115
2.39E+01,-0.186988469
2.39E+01,-0.159826735
2.40E+01,-0.130998874
2.40E+01,-0.10132803
2.41E+01,-0.070624011
2.41E+01,-0.040011538
2.41E+01,-0.00997001
2.41E+01,0.019578611
2.42E+01,0.048961951
2.42E+01,0.076656183
2.42E+01,0.101059097
2.43E+01,0.12562931
2.43E+01,0.147364608
2.44E+01,0.169001696
2.44E+01,0.185075437
2.44E+01,0.200336369
2.44E+01,0.211300385
2.45E+01,0.220616389
2.45E+01,0.22736555
2.46E+01,0.231941471
2.46E+01,0.232659632
2.46E+01,0.232220752
2.46E+01,0.22841412
2.47E+01,0.219870981
2.47E+01,0.209681751
2.47E+01,0.197679606
2.48E+01,0.182666304
2.48E+01,0.166554565
2.48E+01,0.145216948
2.49E+01,0.124668308
2.49E+01,0.099301134
2.49E+01,0.075245763
2.49E+01,0.049011682
2.50E+01,0.02182701
2.50E+01,-0.00631668
2.51E+01,-0.03540331
2.51E+01,-0.063907215
2.51E+01,-0.089881871
2.52E+01,-0.118225473
2.52E+01,-0.144656104
2.52E+01,-0.168309746
2.52E+01,-0.192619156
2.53E+01,-0.214426663
2.53E+01,-0.235992111
2.54E+01,-0.255008985
2.54E+01,-0.271683898
2.54E+01,-0.286391125
2.54E+01,-0.297538042
2.55E+01,-0.305431049
2.55E+01,-0.31245568
2.56E+01,-0.315971647
2.56E+01,-0.316232569
2.56E+01,-0.313259312
2.56E+01,-0.307861059
2.57E+01,-0.299109454
2.57E+01,-0.288771188
2.58E+01,-0.275046551
2.58E+01,-0.258742553
2.58E+01,-0.240211543
2.58E+01,-0.219153716
2.59E+01,-0.1974622
2.59E+01,-0.174130309
2.60E+01,-0.148529645
2.60E+01,-0.12030738
2.60E+01,-0.091516481
2.60E+01,-0.067836647
